Position;1;2;3;4;5;6;7;8;9;10;Mittelwert
$l_{max,1}$;98,5;98,5;98,4;98,6;98,6;98,8;98,7;98,5;98,8;98,8;98,62
$l_{min,1}$;6;6;6,1;6;6,1;6,1;6,1;6;6;6,1;6,05
$\Delta l_1$;92,5;92,5;92,3;92,6;92,5;92,7;92,6;92,5;92,8;92,7;92,57
