Position;1;2;3;4;5;6;7;8;9;10;Mittelwert
$l_{max,1}$;98,4;98,45;98,6;98,3;98,1;98,1;98,1;98;97,8;98;98,185
$l_{min,1}$;3,7;3,6;3,6;3,6;3,7;3,5;3,5;3,5;3,5;3,6;3,58
$\Delta l_4$;94,7;94,85;95;94,7;94,4;94,6;94,6;94,5;94,3;94,4;94,605

